"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V3.1","V6.1","V7.1","V8.1","V9.1","V10.1","V11.1","V12.1","V13.1","V14.1","V15.1","V16.1","V17.1","V18.1","V19.1","V20.1","V21.1","V3.2","V6.2","V7.2","V8.2","V9.2","V10.2","V11.2","V12.2","V13.2","V14.2","V15.2","V16.2","V17.2","V18.2","V19.2","V20.2","V21.2","V3.3","V6.3","V7.3","V8.3","V9.3","V10.3","V11.3","V12.3","V13.3","V14.3","V15.3","V16.3","V17.3","V18.3","V19.3","V20.3","V21.3","V3.4","V6.4","V7.4","V8.4","V9.4","V13.4","V14.4","V15.4","V17.4","V18.4","V19.4","V20.4","V22.1","V3.5","V4.1","V6.5","V7.5","V10.4","V11.4","V12.4","V13.5","V14.5","V15.5","V16.4","V17.5","V18.5","V19.5","V20.5","V21.4","V22.2","V23","V24","V25"
"1",-74.5,49.5," CLDS ",1997,2000,794.92,78.28,66.24,59.15,59.98,63.12,62.88,59.15,62.28,68.07,62.1,68.68,70.18,72.72,78.28,67.5," Globe"," PREC ",975.22,180,81.27,44.25,82.65,44.25,46.83,65.12,87.3,77.72,84.98,180,105.03,67.88,60.1,73.38," TAIR ",1.5,15.15,0.12,-18.28,-18.28,-15.1,-5.2,-1.25,7.55,12.12,15.15,14.65,8.75,3.38,-3.2,-17.08," VAPR ",76.8,13.1,6.4,1.55,1.55,2.12,3.67,4.03,7.83,9.88,12.88,13.1,9.15,6.35,4.68,1.58," LAI ",18.6,2.2,1.55,1.1,1.2,1.8,2.2,2.2,1.9,1.5,1.2," NAMERICA"," NPP ",4,20,0,409.3,118.2,34.1,-9.6,-4.8,-4.5,-8.9,-8.2,106.8,118.2,90.9,76.9,48.6,0.4,3.5,-9.6
"2",-74.5,49.5," CLDS ",1997,2001,800.47,77.9,66.71,59.18,64.95,63.9,61.38,59.18,61,68.93,61,66.1,72.95,74.1,77.9,69.1," Globe"," PREC ",893.45,145.57,74.45,22.9,22.9,64.2,40.03,40.35,64.73,99.75,145.57,85.03,83.62,144,66.62,36.65," TAIR ",17.95,16.52,1.5,-17.4,-16.62,-17.4,-9.45,0.2,10.62,14.53,15.6,16.52,10.35,4.1,-1.88,-8.62," VAPR ",82.7,13.85,6.89,1.43,1.73,1.43,2.53,4.28,8.33,11.8,13.15,13.85,10.6,7.08,4.88,3.08," LAI ",17,2.1,1.42,1.1,1.1,1.4,1.8,2.1,1.7,1.3,1.1," NAMERICA"," NPP ",4,20,0,322.3,94.4,26.9,-21.6,-5.3,-5.2,-7.9,16.6,62.5,94.4,86.3,71.1,49.5,-21.6,-11.2,-6.8
"3",-74.5,49.5," CLDS ",1997,2002,792.5,78.48,66.04,60.65,65.98,60.65,60.65,62.5,63.15,63.15,61.9,63.15,69.7,74.1,78.48,69.1," Globe"," PREC ",753.5,109.22,62.79,31.28,34.8,58.28,47.97,57.25,65.25,81.8,81.18,43.78,109.22,64.25,78.45,31.28," TAIR ",1.52,16.45,0.13,-15.68,-15.55,-15.68,-10.83,-0.6,5.47,12.82,16.45,16.23,11.98,0.8,-6.92,-12.65," VAPR ",79.4,14.52,6.62,1.93,1.95,1.93,2.4,4.4,6.25,10.23,14.52,13.93,11.68,5.93,3.67,2.53," LAI ",17.3,2.1,1.45,1.1,1.1,1.5,2,2.1,1.7,1.3,1.1," NAMERICA"," NPP ",4,20,0,357,112.6,29.8,-25.1,-3.6,-3.6,-7.6,9.8,76.9,112.6,90.9,76.1,52.4,-25.1,-14.7,-7.1
"4",-74.5,49.5," CLDS ",1997,2003,779.98,80.02,65,53.83,67.33,59.6,56.12,63.1,53.83,56.62,64.9,67,65.93,77.35,80.02,68.18," Globe"," PREC ",897.95,150.9,74.83,18.97,18.97,40.53,27.45,65.78,40.9,113.25,89.4,150.9,70.65,104.08,68.73,107.33," TAIR ",-3.82,15.68,-0.32,-20.25,-20.25,-20.15,-11.35,-3.48,8,14.03,15.43,15.68,11.65,2.48,-3.7,-12.15," VAPR ",79.03,14.57,6.59,1.1,1.12,1.1,2.4,3.6,6.98,10.77,13.73,14.57,11.38,6.33,4.43,2.62," LAI ",17.6,2.2,1.46,1.1,1.1,1.5,1.9,2.1,1.8,1.4,1.2," NAMERICA"," NPP ",4,20,0,347,113.4,28.9,-28,-2.8,-5.6,-10.1,4.7,72.6,113.4,100.3,68.7,53.2,-28,-14.5,-4.8
"5",-74.5,49.5," CLDS ",1997,2004,775.95,79.28,64.66,55.6,69.05,60.75,55.6,63.5,62.33,64.72,62.2,68.15,62.55,68.75,79.28,59.08," Globe"," PREC ",817.28,127.23,68.11,34.33,43.5,34.33,44,53.75,82.57,127.23,67.75,75.32,103.6,56.33,66.75,62.15," TAIR ",-5.87,15.95,-0.49,-23.12,-23.12,-15,-8.05,-1.43,6.03,12.05,15.95,13.53,11.23,3.75,-3.93,-16.88," VAPR ",76,13.98,6.33,1,1,1.67,2.85,3.95,6.33,10.05,13.98,12.73,10.55,6.93,4.2,1.77," LAI ",17.9,2.2,1.49,1.1,1.2,1.5,2.1,2.2,1.8,1.4,1.1," NAMERICA"," NPP ",4,20,0,394.8,117.1,32.9,-13.1,-3.7,-5.8,-8.5,-9.1,76.4,116.3,117.1,86.2,57.9,-13.1,-13,-6
"6",-74.5,49.5," CLDS ",1997,2005,774.3,79.45,64.53,53.25,60,59.08,63.4,65.12,61.88,61.8,53.25,59.55,65.6,76.9,79.45,68.28," Globe"," PREC ",982.25,158.17,81.85,29.35,29.35,36.08,47.03,64.43,37.67,101.43,62.08,158.17,147.03,146.82,90.78,61.4," TAIR ",11.75,17.58,0.98,-20,-20,-14.62,-10.12,1.57,7.38,16.18,17.58,15.98,11.62,4.85,-4.35,-14.3," VAPR ",82.78,13.95,6.9,1.2,1.2,1.7,2.35,4.65,7.28,12.88,13.95,13.45,10.88,8.03,4.4,2.03," LAI ",16,1.9,1.33,1.1,1.1,1.4,1.7,1.8,1.5,1.2,1.1," NAMERICA"," NPP ",4,20,0,315.5,96.5,26.3,-23.1,-6.8,-4.9,-8.9,-7.6,64,88.6,96.5,87.5,56.4,-23.1,-17.1,-9.1
"7",-74.5,49.5," CLDS ",1997,2006,805.5,79.43,67.12,60.43,67.35,65.53,70.25,60.43,61.85,62.75,60.68,63.18,66.33,77.43,79.43,70.33," Globe"," PREC ",1044.65,207.32,87.05,37.17,83.08,59.33,37.17,42.98,67.2,83.47,116.32,79.15,207.32,154.52,56.85,57.25," TAIR ",21.77,17.05,1.81,-16.5,-12.85,-16.5,-6.53,1.93,9.43,14.9,17.05,13.88,9.38,2.55,-2.05,-9.4," VAPR ",84.83,14.5,7.07,1.85,2.62,1.85,3.27,4.75,8.8,12.05,14.5,12.25,9.7,6.62,5.05,3.35," LAI ",17.9,2.2,1.5,1.1,1.1,1.6,2.1,2.1,1.8,1.4,1.2," NAMERICA"," NPP ",4,20,0,438.5,120.9,36.5,-12.7,-5.2,-3.6,-8.9,9,84.1,120.9,98.7,74.1,53.1,34.4,-12.7,-5.6
"8",-74.5,49.5," CLDS ",1997,2007,763.95,78.47,63.66,51.23,67.83,61.93,57.55,62.75,51.23,60.18,58.95,62.7,63.8,73.3,78.47,65.28," Globe"," PREC ",979.33,194.73,81.61,27.05,77.2,42.02,39.33,46.38,27.05,80.9,81.53,194.73,131.45,112.38,78.35,68.03," TAIR ",1.7,15.65,0.14,-20.2,-15.95,-20.2,-9.65,-0.47,8.2,14.45,15.65,14.4,10.55,5.55,-5.62,-15.2," VAPR ",79.8,13.83,6.65,1.25,2.4,1.25,2.8,4.6,6.85,11.55,13.83,12.77,10.3,7.57,3.85,2.03," LAI ",17.5,2.2,1.46,1.1,1.2,1.5,1.9,2.1,1.8,1.4,1.1," NAMERICA"," NPP ",4,20,0,323.2,94.7,26.9,-26.8,-5.7,-4.9,-7.2,13.1,75.6,94.7,88.3,68.3,47.4,-26.8,-14.6,-5.2
"9",-74.5,49.5," CLDS ",1997,2008,788.23,80.62,65.69,55.55,67.05,57.88,55.55,62,59.95,70.9,68.62,64.95,64.73,74.03,80.62,61.95," Globe"," PREC ",995.15,149.58,82.93,40.4,52.4,40.4,83.53,86.78,62.3,149.58,121.18,40.88,121.23,92.23,67,77.68," TAIR ",1.88,16.43,0.16,-16.75,-14.83,-16.75,-12.23,1.48,6.25,13.95,16.43,14.53,10.02,3.1,-3.98,-16.1," VAPR ",83.1,14.65,6.92,1.93,2.6,1.93,2.28,4.9,6.65,12.5,14.65,13.68,10.43,6.65,4.73,2.12," LAI ",17.9,2.2,1.49,1.1,1.2,1.5,2,2.2,1.8,1.4,1.2," NAMERICA"," NPP ",4,20,0,357.7,116.5,29.8,-21.8,-3.2,-5.2,-9,10.5,74.3,116.5,91.6,76.9,50,-21.8,-16.1,-6.7
"10",-74.5,49.5," CLDS ",1997,2009,794.88,78.33,66.24,54.4,64.82,62.48,54.4,63.3,58.43,64.28,68.88,66.68,64.32,78.33,77.85,71.12," Globe"," PREC ",865.05,143.18,72.09,26.1,38.7,51.6,26.1,48.1,75.85,45.17,143.18,100.18,104.08,85.33,59.33,87.45," TAIR ",0.2,15.05,0.02,-21.65,-21.65,-15.9,-9.62,0.3,6.08,13.52,14.7,15.05,10.3,1.45,-1,-13.03," VAPR ",80.7,14.1,6.72,1.3,1.3,2.17,2.7,4.65,6.43,11.6,14.1,13.65,9.93,6.23,5.35,2.6," LAI ",18.7,2.2,1.56,1.1,1.3,1.9,2.2,2.2,1.9,1.4,1.2," NAMERICA"," NPP ",4,20,0,393.7,126,32.8,-26.5,-6,-7.1,-9.1,-18,118.2,126,108.7,81.3,48.6,-26.5,-14.8,-7.5
"11",-74.5,49.5," CLDS ",1997,2010,802.12,77,66.84,54.1,70.65,75.55,54.1,60.63,55.48,61.92,61.83,61.93,74.2,74.93,77,73.93," Globe"," PREC ",951.08,259.08,79.26,25.83,38.85,32.92,31.98,25.83,65.45,90.53,99.95,109.15,259.08,77.93,57.15,62.28," TAIR ",26.38,17.75,2.2,-14.38,-14.38,-12.3,-4.6,3.2,10.07,13.23,17.75,16.28,9.73,2.95,-3.83,-11.73," VAPR ",86.28,15.27,7.19,2.45,2.45,2.53,3.35,5.38,8.2,10.88,15.27,13.98,10.52,6.53,4.57,2.62," LAI ",15.9,1.9,1.33,1.1,1.1,1.3,1.6,1.8,1.5,1.2,1.1," NAMERICA"," NPP ",4,20,0,350.6,96,29.2,-18.1,-4.4,-4.9,-8.4,8.3,57.1,84.5,96,86.4,61,0.7,-18.1,-7.5
"12",-74.5,49.5," CLDS ",1997,2011,780.62,78.3,65.05,59.68,70.58,60.22,60.3,61.43,59.88,64.35,59.68,65.15,64.32,70.68,78.3,65.75," Globe"," PREC ",972.4,145.8,81.03,37.18,39.15,37.18,85.25,57.67,106.65,108.93,145.8,133.6,92.9,51.05,57.65,56.58," TAIR ",11.52,17.42,0.96,-17.98,-17.98,-16.7,-10.4,-0.77,8.12,13.78,17.42,15.48,11.4,4.58,-1.55,-11.85," VAPR ",85.1,14.02,7.09,1.93,1.95,1.93,2.7,4.58,8.05,11.08,13.9,14.02,11.33,7.62,5.18,2.78," LAI ",17.5,2.2,1.46,1.1,1.1,1.6,1.9,2.1,1.7,1.4,1.1," NAMERICA"," NPP ",4,20,0,433.3,115.8,36.1,-13.2,-5.3,-6.3,-5.5,-7.1,83.1,110.7,115.8,83.7,53.1,31.9,-13.2,-7.6
"13",-74.5,49.5," CLDS ",1997,2012,803,79.18,66.92,56.05,64.93,62.22,62.85,63.95,56.05,64.85,62.27,67.9,69.18,76.82,79.18,72.8," Globe"," PREC ",842.65,157.58,70.22,23.18,54.5,25.38,41.95,62.25,77.4,157.58,41.22,102.3,83.75,100.35,23.18,72.8," TAIR ",23.52,17.35,1.96,-15.88,-15.88,-13.9,-4.4,0.43,9.62,14.88,17.35,16.3,10.35,4.78,-4.4,-11.6," VAPR ",84.8,13.62,7.07,2.12,2.12,2.25,3.85,4.2,8.5,12.08,13.48,13.62,10.15,7.58,4.05,2.92," LAI ",17.4,2.2,1.45,1.1,1.1,1.5,1.9,2.1,1.7,1.4,1.1," NAMERICA"," NPP ",4,20,0,328.4,96.7,27.4,-30.8,-4.9,-5.4,-9.2,6.5,75.7,96.7,95.4,71.5,50.7,-30.8,-13.2,-4.5
